indicator,age_modifier,sex_modifier,value,county
Gender Parity Index,secondary,total,1.04,Makueni
Learner to teacher Ratio in Public Schools,preprimary_ece,total,36,Makueni
Learner to teacher Ratio in Public Schools,primary,total,29,Makueni
Learner to teacher Ratio in Public Schools,secondary,total,28,Makueni
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,29,Makueni
Learner-Classroom Ratio in Public Schools,primary,total,28,Makueni
Learner-Classroom Ratio in Public Schools,secondary,total,39,Makueni
Percentage of students with no access to improved water source,NA,total,65,Makueni
Number of schools with no water source,NA,total,926,Makueni
Students' dropout/Absenteeism during 2022,preprimary_ece,female,1060,Makueni
Students' dropout/Absenteeism during 2022,preprimary_ece,male,30483,Makueni
Students' dropout/Absenteeism during 2022,preprimary_ece,total,31543,Makueni
Students' dropout/Absenteeism during 2022,primary,female,12837,Makueni
Students' dropout/Absenteeism during 2022,primary,male,12840,Makueni
Students' dropout/Absenteeism during 2022,primary,total,25677,Makueni
Students' dropout/Absenteeism during 2022,secondary,female,1837,Makueni
Students' dropout/Absenteeism during 2022,secondary,male,1837,Makueni
Students' dropout/Absenteeism during 2022,secondary,total,3674,Makueni
Net Enrolment Rate (NER),preprimary_ece,female,144.3,Makueni
Net Enrolment Rate (NER),preprimary_ece,male,144.3,Makueni
Net Enrolment Rate (NER),preprimary_ece,total,144.3,Makueni
Net Enrolment Rate (NER),primary,female,95.4,Makueni
Net Enrolment Rate (NER),primary,male,98.8,Makueni
Net Enrolment Rate (NER),primary,total,97.1,Makueni
Net Enrolment Rate (NER),secondary,female,87.7,Makueni
Net Enrolment Rate (NER),secondary,male,75.1,Makueni
Net Enrolment Rate (NER),secondary,total,81.2,Makueni
Primary-to-Secondary Transition Rate,secondary,female,91.4,Makueni
Primary-to-Secondary Transition Rate,secondary,male,90.5,Makueni
Primary-to-Secondary Transition Rate,secondary,total,90.9,Makueni
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,14,Makueni
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,16,Makueni
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,15,Makueni
Learner to Toilet Ratio in Public Schools ,primary,female,21,Makueni
Learner to Toilet Ratio in Public Schools ,primary,male,24,Makueni
Learner to Toilet Ratio in Public Schools ,primary,total,23,Makueni
Learner to Toilet Ratio in Public Schools ,secondary,female,16,Makueni
Learner to Toilet Ratio in Public Schools ,secondary,male,19,Makueni
Learner to Toilet Ratio in Public Schools ,secondary,total,18,Makueni
county_population,total,female,529230,Makueni
county_population,total,male,513070,Makueni
county_population,total,total,1042300,Makueni
school_age_children,total,female,157386,Makueni
school_age_children,total,male,152718,Makueni
school_age_children,total,total,310104,Makueni
out_of_school_children,preprimary_ece,female,3900,Makueni
out_of_school_children,preprimary_ece,male,4500,Makueni
out_of_school_children,preprimary_ece,total,8400,Makueni
out_of_school_children,primary,female,1360,Makueni
out_of_school_children,primary,male,1770,Makueni
out_of_school_children,primary,total,3130,Makueni
out_of_school_children,secondary,female,2150,Makueni
out_of_school_children,secondary,male,3430,Makueni
out_of_school_children,secondary,total,5580,Makueni
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.111,Makueni
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.227,Makueni
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.047,Makueni
Number of education Institutions (Public & Private),preprimary_ece,total,353,Mandera
Number of education Institutions (Public & Private),primary,total,345,Mandera
Number of education Institutions (Public & Private),secondary,total,65,Mandera
Gender Parity Index,preprimary_ece,total,0.66,Mandera
Gender Parity Index,primary,total,0.6,Mandera
Gender Parity Index,secondary,total,0.54,Mandera
Learner to teacher Ratio in Public Schools,preprimary_ece,total,125,Mandera
Learner to teacher Ratio in Public Schools,primary,total,126,Mandera
Learner to teacher Ratio in Public Schools,secondary,total,40,Mandera
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,108,Mandera
Learner-Classroom Ratio in Public Schools,primary,total,44,Mandera
Learner-Classroom Ratio in Public Schools,secondary,total,36,Mandera
Percentage of students with no access to improved water source,NA,total,70,Mandera
Number of schools with no water source,NA,total,269,Mandera
Students' dropout/Absenteeism during 2022,preprimary_ece,female,1561,Mandera
Students' dropout/Absenteeism during 2022,preprimary_ece,male,1376,Mandera
Students' dropout/Absenteeism during 2022,preprimary_ece,total,2937,Mandera
Students' dropout/Absenteeism during 2022,primary,female,1608,Mandera
Students' dropout/Absenteeism during 2022,primary,male,1800,Mandera
Students' dropout/Absenteeism during 2022,primary,total,3408,Mandera
Students' dropout/Absenteeism during 2022,secondary,female,0,Mandera
Students' dropout/Absenteeism during 2022,secondary,male,0,Mandera
Students' dropout/Absenteeism during 2022,secondary,total,0,Mandera
Net Enrolment Rate (NER),preprimary_ece,female,58.9,Mandera
Net Enrolment Rate (NER),preprimary_ece,male,100.6,Mandera
Net Enrolment Rate (NER),preprimary_ece,total,78.4,Mandera
Net Enrolment Rate (NER),primary,female,27.6,Mandera
Net Enrolment Rate (NER),primary,male,44.1,Mandera
Net Enrolment Rate (NER),primary,total,35.8,Mandera
Net Enrolment Rate (NER),secondary,female,9.8,Mandera
Net Enrolment Rate (NER),secondary,male,12.7,Mandera
Net Enrolment Rate (NER),secondary,total,11.4,Mandera
Primary-to-Secondary Transition Rate,secondary,female,81.8,Mandera
Primary-to-Secondary Transition Rate,secondary,male,85.8,Mandera
Primary-to-Secondary Transition Rate,secondary,total,84.3,Mandera
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,143,Mandera
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,185,Mandera
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,164,Mandera
Learner to Toilet Ratio in Public Schools ,primary,female,63,Mandera
Learner to Toilet Ratio in Public Schools ,primary,male,94,Mandera
Learner to Toilet Ratio in Public Schools ,primary,total,78.5,Mandera
Learner to Toilet Ratio in Public Schools ,secondary,female,24,Mandera
Learner to Toilet Ratio in Public Schools ,secondary,male,30,Mandera
Learner to Toilet Ratio in Public Schools ,secondary,total,27,Mandera
county_population,total,female,469826,Mandera
county_population,total,male,489410,Mandera
county_population,total,total,959236,Mandera
school_age_children,total,female,198797,Mandera
school_age_children,total,male,191841,Mandera
school_age_children,total,total,390638,Mandera
out_of_school_children,preprimary_ece,female,32660,Mandera
out_of_school_children,preprimary_ece,male,28340,Mandera
out_of_school_children,preprimary_ece,total,61000,Mandera
out_of_school_children,primary,female,86430,Mandera
out_of_school_children,primary,male,83620,Mandera
out_of_school_children,primary,total,170050,Mandera
out_of_school_children,secondary,female,29970,Mandera
out_of_school_children,secondary,male,34450,Mandera
out_of_school_children,secondary,total,64420,Mandera
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.146,Mandera
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.086,Mandera
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.008,Mandera
Number of education Institutions (Public & Private),preprimary_ece,total,264,Marsabit
Number of education Institutions (Public & Private),primary,total,229,Marsabit
Number of education Institutions (Public & Private),secondary,total,48,Marsabit
Gender Parity Index,preprimary_ece,total,1.03,Marsabit
Gender Parity Index,primary,total,0.97,Marsabit
Gender Parity Index,secondary,total,0.96,Marsabit
Learner to teacher Ratio in Public Schools,preprimary_ece,total,61,Marsabit
Learner to teacher Ratio in Public Schools,primary,total,41,Marsabit
Learner to teacher Ratio in Public Schools,secondary,total,20,Marsabit
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,85,Marsabit
Learner-Classroom Ratio in Public Schools,primary,total,38,Marsabit
Learner-Classroom Ratio in Public Schools,secondary,total,35,Marsabit
Percentage of students with no access to improved water source,NA,total,66,Marsabit
Number of schools with no water source,NA,total,131,Marsabit
Students' dropout/Absenteeism during 2022,preprimary_ece,female,146,Marsabit
Students' dropout/Absenteeism during 2022,preprimary_ece,male,712,Marsabit
Students' dropout/Absenteeism during 2022,preprimary_ece,total,858,Marsabit
Students' dropout/Absenteeism during 2022,primary,female,873,Marsabit
Students' dropout/Absenteeism during 2022,primary,male,866,Marsabit
Students' dropout/Absenteeism during 2022,primary,total,1739,Marsabit
Students' dropout/Absenteeism during 2022,secondary,female,521,Marsabit
Students' dropout/Absenteeism during 2022,secondary,male,436,Marsabit
Students' dropout/Absenteeism during 2022,secondary,total,957,Marsabit
Net Enrolment Rate (NER),preprimary_ece,female,58.9,Marsabit
Net Enrolment Rate (NER),preprimary_ece,male,100.6,Marsabit
Net Enrolment Rate (NER),preprimary_ece,total,78.4,Marsabit
Net Enrolment Rate (NER),primary,female,27.6,Marsabit
Net Enrolment Rate (NER),primary,male,44.1,Marsabit
Net Enrolment Rate (NER),primary,total,35.8,Marsabit
Net Enrolment Rate (NER),secondary,female,9.8,Marsabit
Net Enrolment Rate (NER),secondary,male,12.7,Marsabit
Net Enrolment Rate (NER),secondary,total,11.4,Marsabit
Primary-to-Secondary Transition Rate,secondary,female,78.9,Marsabit
Primary-to-Secondary Transition Rate,secondary,male,79.7,Marsabit
Primary-to-Secondary Transition Rate,secondary,total,79.3,Marsabit
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,79,Marsabit
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,76,Marsabit
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,77.5,Marsabit
Learner to Toilet Ratio in Public Schools ,primary,female,39,Marsabit
Learner to Toilet Ratio in Public Schools ,primary,male,43,Marsabit
Learner to Toilet Ratio in Public Schools ,primary,total,41,Marsabit
Learner to Toilet Ratio in Public Schools ,secondary,female,19,Marsabit
Learner to Toilet Ratio in Public Schools ,secondary,male,22,Marsabit
Learner to Toilet Ratio in Public Schools ,secondary,total,21,Marsabit
county_population,total,female,259237,Marsabit
county_population,total,male,256056,Marsabit
county_population,total,total,515292,Marsabit
school_age_children,total,female,102680,Marsabit
school_age_children,total,male,101970,Marsabit
school_age_children,total,total,204650,Marsabit
out_of_school_children,preprimary_ece,female,10060,Marsabit
out_of_school_children,preprimary_ece,male,10700,Marsabit
out_of_school_children,preprimary_ece,total,20760,Marsabit
out_of_school_children,primary,female,27780,Marsabit
out_of_school_children,primary,male,31040,Marsabit
out_of_school_children,primary,total,58820,Marsabit
out_of_school_children,secondary,female,11300,Marsabit
out_of_school_children,secondary,male,16720,Marsabit
out_of_school_children,secondary,total,28020,Marsabit
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.294,Marsabit
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.164,Marsabit
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.01,Marsabit
Number of education Institutions (Public & Private),preprimary_ece,total,1180,Meru
Number of education Institutions (Public & Private),primary,total,1016,Meru
Number of education Institutions (Public & Private),secondary,total,410,Meru
Gender Parity Index,preprimary_ece,total,0.98,Meru
Gender Parity Index,primary,total,0.98,Meru
Gender Parity Index,secondary,total,1.11,Meru
Learner to teacher Ratio in Public Schools,preprimary_ece,total,47,Meru
Learner to teacher Ratio in Public Schools,primary,total,31,Meru
Learner to teacher Ratio in Public Schools,secondary,total,28,Meru
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,50,Meru
Learner-Classroom Ratio in Public Schools,primary,total,30,Meru
Learner-Classroom Ratio in Public Schools,secondary,total,38,Meru
Percentage of students with no access to improved water source,NA,total,25,Meru
Number of schools with no water source,NA,total,233,Meru
Students' dropout/Absenteeism during 2022,preprimary_ece,female,3066,Meru
Students' dropout/Absenteeism during 2022,preprimary_ece,male,2921,Meru
Students' dropout/Absenteeism during 2022,preprimary_ece,total,5987,Meru
Students' dropout/Absenteeism during 2022,primary,female,18043,Meru
Students' dropout/Absenteeism during 2022,primary,male,16530,Meru
Students' dropout/Absenteeism during 2022,primary,total,34573,Meru
Students' dropout/Absenteeism during 2022,secondary,female,6172,Meru
Students' dropout/Absenteeism during 2022,secondary,male,5147,Meru
Students' dropout/Absenteeism during 2022,secondary,total,11319,Meru
Net Enrolment Rate (NER),preprimary_ece,female,123.8,Meru
Net Enrolment Rate (NER),preprimary_ece,male,122.5,Meru
Net Enrolment Rate (NER),preprimary_ece,total,123.1,Meru
Net Enrolment Rate (NER),primary,female,81.4,Meru
Net Enrolment Rate (NER),primary,male,81.9,Meru
Net Enrolment Rate (NER),primary,total,81.7,Meru
Net Enrolment Rate (NER),secondary,female,65.6,Meru
Net Enrolment Rate (NER),secondary,male,58.1,Meru
Net Enrolment Rate (NER),secondary,total,61.9,Meru
Primary-to-Secondary Transition Rate,secondary,female,86.9,Meru
Primary-to-Secondary Transition Rate,secondary,male,85.8,Meru
Primary-to-Secondary Transition Rate,secondary,total,86.4,Meru
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,26,Meru
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,31,Meru
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,28.5,Meru
Learner to Toilet Ratio in Public Schools ,primary,female,20,Meru
Learner to Toilet Ratio in Public Schools ,primary,male,24,Meru
Learner to Toilet Ratio in Public Schools ,primary,total,22,Meru
Learner to Toilet Ratio in Public Schools ,secondary,female,15,Meru
Learner to Toilet Ratio in Public Schools ,secondary,male,18,Meru
Learner to Toilet Ratio in Public Schools ,secondary,total,17,Meru
county_population,total,female,817774,Meru
county_population,total,male,808208,Meru
county_population,total,total,1625982,Meru
school_age_children,total,female,244413,Meru
school_age_children,total,male,241502,Meru
school_age_children,total,total,485915,Meru
out_of_school_children,preprimary_ece,female,5710,Meru
out_of_school_children,preprimary_ece,male,6260,Meru
out_of_school_children,preprimary_ece,total,11970,Meru
out_of_school_children,primary,female,5280,Meru
out_of_school_children,primary,male,6590,Meru
out_of_school_children,primary,total,11870,Meru
out_of_school_children,secondary,female,7940,Meru
out_of_school_children,secondary,male,10260,Meru
out_of_school_children,secondary,total,18200,Meru
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.236,Meru
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.358,Meru
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.16,Meru
Number of education Institutions (Public & Private),preprimary_ece,total,616,Samburu
Number of education Institutions (Public & Private),primary,total,205,Samburu
Number of education Institutions (Public & Private),secondary,total,52,Samburu
Gender Parity Index,preprimary_ece,total,0.9,Samburu
Gender Parity Index,primary,total,0.9,Samburu
Gender Parity Index,secondary,total,0.74,Samburu
Learner to teacher Ratio in Public Schools,preprimary_ece,total,39,Samburu
Learner to teacher Ratio in Public Schools,primary,total,40,Samburu
Learner to teacher Ratio in Public Schools,secondary,total,22,Samburu
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,61,Samburu
Learner-Classroom Ratio in Public Schools,primary,total,37,Samburu
Learner-Classroom Ratio in Public Schools,secondary,total,31,Samburu
Percentage of students with no access to improved water source,NA,total,48,Samburu
Number of schools with no water source,NA,total,135,Samburu
Students' dropout/Absenteeism during 2022,preprimary_ece,female,0,Samburu
Students' dropout/Absenteeism during 2022,preprimary_ece,male,0,Samburu
Students' dropout/Absenteeism during 2022,preprimary_ece,total,0,Samburu
Students' dropout/Absenteeism during 2022,primary,female,2504,Samburu
Students' dropout/Absenteeism during 2022,primary,male,2609,Samburu
Students' dropout/Absenteeism during 2022,primary,total,5113,Samburu
Students' dropout/Absenteeism during 2022,secondary,female,93,Samburu
Students' dropout/Absenteeism during 2022,secondary,male,1408,Samburu
Students' dropout/Absenteeism during 2022,secondary,total,1501,Samburu
Net Enrolment Rate (NER),preprimary_ece,female,64.1,Samburu
Net Enrolment Rate (NER),preprimary_ece,male,68.6,Samburu
Net Enrolment Rate (NER),preprimary_ece,total,66.4,Samburu
Net Enrolment Rate (NER),primary,female,43,Samburu
Net Enrolment Rate (NER),primary,male,45,Samburu
Net Enrolment Rate (NER),primary,total,44,Samburu
Net Enrolment Rate (NER),secondary,female,29.6,Samburu
Net Enrolment Rate (NER),secondary,male,30.4,Samburu
Net Enrolment Rate (NER),secondary,total,30,Samburu
Primary-to-Secondary Transition Rate,secondary,female,82.6,Samburu
Primary-to-Secondary Transition Rate,secondary,male,78.9,Samburu
Primary-to-Secondary Transition Rate,secondary,total,80.6,Samburu
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,75,Samburu
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,85,Samburu
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,80,Samburu
Learner to Toilet Ratio in Public Schools ,primary,female,40,Samburu
Learner to Toilet Ratio in Public Schools ,primary,male,50,Samburu
Learner to Toilet Ratio in Public Schools ,primary,total,45,Samburu
Learner to Toilet Ratio in Public Schools ,secondary,female,18,Samburu
Learner to Toilet Ratio in Public Schools ,secondary,male,21,Samburu
Learner to Toilet Ratio in Public Schools ,secondary,total,20,Samburu
county_population,total,female,175936,Samburu
county_population,total,male,172362,Samburu
county_population,total,total,348298,Samburu
school_age_children,total,female,136615,Samburu
school_age_children,total,male,133304,Samburu
school_age_children,total,total,269919,Samburu
out_of_school_children,preprimary_ece,female,6420,Samburu
out_of_school_children,preprimary_ece,male,6290,Samburu
out_of_school_children,preprimary_ece,total,12710,Samburu
out_of_school_children,primary,female,17560,Samburu
out_of_school_children,primary,male,19130,Samburu
out_of_school_children,primary,total,36690,Samburu
out_of_school_children,secondary,female,6570,Samburu
out_of_school_children,secondary,male,8840,Samburu
out_of_school_children,secondary,total,15410,Samburu
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.501,Samburu
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.486,Samburu
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.069,Samburu
Number of education Institutions (Public & Private),preprimary_ece,total,367,Tana River
Number of education Institutions (Public & Private),primary,total,207,Tana River
Number of education Institutions (Public & Private),secondary,total,35,Tana River
Gender Parity Index,preprimary_ece,total,0.9,Tana River
Gender Parity Index,primary,total,0.97,Tana River
Gender Parity Index,secondary,total,0.83,Tana River
Learner to teacher Ratio in Public Schools,preprimary_ece,total,82,Tana River
Learner to teacher Ratio in Public Schools,primary,total,35,Tana River
Learner to teacher Ratio in Public Schools,secondary,total,24,Tana River
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,73,Tana River
Learner-Classroom Ratio in Public Schools,primary,total,38,Tana River
Learner-Classroom Ratio in Public Schools,secondary,total,33,Tana River
Percentage of students with no access to improved water source,NA,total,53,Tana River
Number of schools with no water source,NA,total,122,Tana River
Students' dropout/Absenteeism during 2022,preprimary_ece,female,461,Tana River
Students' dropout/Absenteeism during 2022,preprimary_ece,male,1446,Tana River
Students' dropout/Absenteeism during 2022,preprimary_ece,total,1907,Tana River
Students' dropout/Absenteeism during 2022,primary,female,1356,Tana River
Students' dropout/Absenteeism during 2022,primary,male,1271,Tana River
Students' dropout/Absenteeism during 2022,primary,total,2627,Tana River
Students' dropout/Absenteeism during 2022,secondary,female,0,Tana River
Students' dropout/Absenteeism during 2022,secondary,male,0,Tana River
Students' dropout/Absenteeism during 2022,secondary,total,0,Tana River
Net Enrolment Rate (NER),preprimary_ece,female,91.4,Tana River
Net Enrolment Rate (NER),preprimary_ece,male,96.5,Tana River
Net Enrolment Rate (NER),preprimary_ece,total,94,Tana River
Net Enrolment Rate (NER),primary,female,48.8,Tana River
Net Enrolment Rate (NER),primary,male,47.3,Tana River
Net Enrolment Rate (NER),primary,total,48.1,Tana River
Net Enrolment Rate (NER),secondary,female,18.1,Tana River
Net Enrolment Rate (NER),secondary,male,19.6,Tana River
Net Enrolment Rate (NER),secondary,total,18.9,Tana River
Primary-to-Secondary Transition Rate,secondary,female,80.3,Tana River
Primary-to-Secondary Transition Rate,secondary,male,84.3,Tana River
Primary-to-Secondary Transition Rate,secondary,total,82.4,Tana River
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,88,Tana River
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,100,Tana River
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,94,Tana River
Learner to Toilet Ratio in Public Schools ,primary,female,43,Tana River
Learner to Toilet Ratio in Public Schools ,primary,male,50,Tana River
Learner to Toilet Ratio in Public Schools ,primary,total,47,Tana River
Learner to Toilet Ratio in Public Schools ,secondary,female,18,Tana River
Learner to Toilet Ratio in Public Schools ,secondary,male,29,Tana River
Learner to Toilet Ratio in Public Schools ,secondary,total,24,Tana River
county_population,total,female,178288,Tana River
county_population,total,male,174260,Tana River
county_population,total,total,352549,Tana River
school_age_children,total,female,71353,Tana River
school_age_children,total,male,69423,Tana River
school_age_children,total,total,140776,Tana River
out_of_school_children,preprimary_ece,female,6490,Tana River
out_of_school_children,preprimary_ece,male,6950,Tana River
out_of_school_children,preprimary_ece,total,13440,Tana River
out_of_school_children,primary,female,12940,Tana River
out_of_school_children,primary,male,13140,Tana River
out_of_school_children,primary,total,26080,Tana River
out_of_school_children,secondary,female,5430,Tana River
out_of_school_children,secondary,male,4990,Tana River
out_of_school_children,secondary,total,10420,Tana River
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,total,female,0.176,Tana River
GBV: Percentage of girls/women who have experienced physical violence since age 15,total,female,0.358,Tana River
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,total,female,0.023,Tana River
Number of education Institutions (Public & Private),preprimary_ece,total,557,Tharaka-Nithi
Number of education Institutions (Public & Private),primary,total,545,Tharaka-Nithi
Number of education Institutions (Public & Private),secondary,total,160,Tharaka-Nithi
Gender Parity Index,preprimary_ece,total,1,Tharaka-Nithi
Gender Parity Index,primary,total,0.97,Tharaka-Nithi
Gender Parity Index,secondary,total,1.08,Tharaka-Nithi
Learner to teacher Ratio in Public Schools,preprimary_ece,total,29,Tharaka-Nithi
Learner to teacher Ratio in Public Schools,primary,total,22,Tharaka-Nithi
Learner to teacher Ratio in Public Schools,secondary,total,24,Tharaka-Nithi
Learner-Classroom Ratio in Public Schools,preprimary_ece,total,31,Tharaka-Nithi
Learner-Classroom Ratio in Public Schools,primary,total,20,Tharaka-Nithi
Learner-Classroom Ratio in Public Schools,secondary,total,37,Tharaka-Nithi
Percentage of students with no access to improved water source,NA,total,23,Tharaka-Nithi
Number of schools with no water source,NA,total,164,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,preprimary_ece,female,65,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,preprimary_ece,male,45,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,preprimary_ece,total,110,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,primary,female,1080,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,primary,male,941,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,primary,total,2021,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,secondary,female,3,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,secondary,male,81,Tharaka-Nithi
Students' dropout/Absenteeism during 2022,secondary,total,84,Tharaka-Nithi
Net Enrolment Rate (NER),preprimary_ece,female,171.2,Tharaka-Nithi
Net Enrolment Rate (NER),preprimary_ece,male,168.6,Tharaka-Nithi
Net Enrolment Rate (NER),preprimary_ece,total,169.9,Tharaka-Nithi
Net Enrolment Rate (NER),primary,female,98.9,Tharaka-Nithi
Net Enrolment Rate (NER),primary,male,100.8,Tharaka-Nithi
Net Enrolment Rate (NER),primary,total,99.9,Tharaka-Nithi
Net Enrolment Rate (NER),secondary,female,102.8,Tharaka-Nithi
Net Enrolment Rate (NER),secondary,male,91.2,Tharaka-Nithi
Net Enrolment Rate (NER),secondary,total,97,Tharaka-Nithi
Primary-to-Secondary Transition Rate,secondary,female,88.9,Tharaka-Nithi
Primary-to-Secondary Transition Rate,secondary,male,87.1,Tharaka-Nithi
Primary-to-Secondary Transition Rate,secondary,total,88.1,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,preprimary_ece,female,14,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,preprimary_ece,male,16,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,preprimary_ece,total,15,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,primary,female,16,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,primary,male,18,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,primary,total,17,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,secondary,female,14,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,secondary,male,17,Tharaka-Nithi
Learner to Toilet Ratio in Public Schools ,secondary,total,16,Tharaka-Nithi
county_population,total,female,211732,Tharaka-Nithi
county_population,total,male,204652,Tharaka-Nithi
county_population,total,total,416383,Tharaka-Nithi
school_age_children,total,female,57717,Tharaka-Nithi
school_age_children,total,male,57545,Tharaka-Nithi
school_age_children,total,total,115262,Tharaka-Nithi
out_of_school_children,preprimary_ece,female,1450,Tharaka-Nithi
out_of_school_children,preprimary_ece,male,1400,Tharaka-Nithi
out_of_school_children,preprimary_ece,total,2850,Tharaka-Nithi
out_of_school_children,primary,female,1020,Tharaka-Nithi
out_of_school_children,primary,male,1240,Tharaka-Nithi
out_of_school_children,primary,total,2260,Tharaka-Nithi
out_of_school_children,secondary,female,1300,Tharaka-Nithi
out_of_school_children,secondary,male,1400,Tharaka-Nithi
out_of_school_children,secondary,total,2700,Tharaka-Nithi
